job,file_count,size_bytes,folder_modified,folder_accessed,latest_file_modified,latest_file_accessed,scanned_at,status,missing_files,extra_files,different_files,missing_dirs,extra_dirs,source_scan_seconds,backup_scan_seconds,verification_seconds,source,backup
Job001,3,1794695,2026-09-16T11:22:28+08:00,2026-09-16T11:22:30+08:00,2026-09-16T11:21:20+08:00,2026-09-16T14:33:55+08:00,2026-09-16T14:41:37+08:00,MATCH,0,0,0,0,0,0.0001,0.0002,0.0048,/Users/elvirazhong/Desktop/PE_Backup_Tool/demo/P_PE_results/Job001,/Users/elvirazhong/Desktop/PE_Backup_Tool/demo/Tier3_PE_results/Job001
3911,1,965681,2026-09-16T14:37:50+08:00,2026-09-16T14:37:52+08:00,2025-08-29T11:02:24+08:00,2026-09-16T14:37:53+08:00,2026-09-16T14:41:37+08:00,NOT_BACKED_UP,1,0,0,0,0,0.0004,,0.0,/Users/elvirazhong/Desktop/PE_Backup_Tool/demo/P_PE_results/3911,/Users/elvirazhong/Desktop/PE_Backup_Tool/demo/Tier3_PE_results/3911
